column,present_in_file
PT_CODE,True
WL_ID_CODE,True
TRR_ID_CODE,True
DONOR_ID,True
WL_ORG,True
ORGAN,True
WLKI,True
INIT_DATE,True
END_DATE,True
REM_CD,True
DAYSWAIT_CHRON,True
DAYSWAIT_ALLOC,True
PTIME,True
PSTATUS,True
COMPOSITE_DEATH_DATE,True
TX_DATE,True
DON_TY,True
INIT_AGE,True
GENDER,True
ETHCAT,True
ABO,True
INIT_CPRA,True
END_CPRA,True
ON_DIALYSIS,True
DIALYSIS_DATE,True
BMI_TCR,True
FUNC_STAT_TCR,True
PREV_TX,True
INIT_STAT,True
END_STAT,True
DIAG_KI,True
REGION,True
LISTING_CTR_CODE,True
MULTIORG,True
A2A2B_ELIGIBILITY,True
